scenario,scenario_desc,rep,method,RMSE_overall,RMSE_global,RMSE_local,Prec_global,Rec_global,F1_global,runtime_sec
B,"B (flat global, hetero locals)",6,LLT,0.036430101994786517,0.004950726861469395,0.029493696090448298,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",6,HP-mean,0.05684709613096784,0.002545411411520818,0.049424467041113314,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",7,GLASS-E,0.014083264064806492,0.0055667358071068715,0.023397502146808812,0.0,0.0,0.0,0.4668118953704834
B,"B (flat global, hetero locals)",7,ITF,0.014142735252228183,0.005309478677215116,0.023531731137880266,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",7,Theil-Sen,0.029753557050865798,0.002984993482162464,0.013843725978279145,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",7,LLT,0.03781522985781514,0.0062914193545461385,0.028640700295981807,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",7,HP-mean,0.056296510188840895,0.0038732643209301062,0.047856549124981954,0.0,0.0,0.0,
C,C (non-monotone global),0,GLASS-E,0.014394653413256422,0.006796746247632555,0.031640360961557125,0.2222222222222222,1.0,0.3636363636363636,0.14737272262573242
C,C (non-monotone global),0,ITF,0.014389224082690328,0.006847875285073466,0.03199921179070527,0.16666666666666666,1.0,0.2857142857142857,
C,C (non-monotone global),0,Theil-Sen,0.05036956613949667,0.036175730565061584,0.023754605510913927,0.11764705882352941,1.0,0.21052631578947367,
C,C (non-monotone global),0,LLT,0.04442161452162891,0.02065601374287318,0.0431469863655922,0.13333333333333333,1.0,0.23529411764705882,
C,C (non-monotone global),0,HP-mean,0.07646120458903903,0.008595796649996724,0.06473774068845649,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),1,GLASS-E,0.018215158638928287,0.005613238914748171,0.02993291586721261,0.25,1.0,0.4,0.14174556732177734
C,C (non-monotone global),1,ITF,0.01829238104539289,0.006112275564771296,0.030561234234335308,0.15384615384615385,1.0,0.2666666666666667,
C,C (non-monotone global),1,Theil-Sen,0.05080020168192057,0.03531528446521658,0.02708424683170833,0.25,1.0,0.4,
C,C (non-monotone global),1,LLT,0.045753545569537826,0.014776377340354084,0.04335760891771811,0.14285714285714285,1.0,0.25,
C,C (non-monotone global),1,HP-mean,0.07460144184981464,0.008208665472028386,0.05957176632300072,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),2,GLASS-E,0.014251049193498108,0.0045668890939810705,0.032757071716391264,0.18181818181818182,1.0,0.3076923076923077,0.14110946655273438
C,C (non-monotone global),2,ITF,0.014072103345294075,0.004681436023500423,0.033161240522643756,0.18181818181818182,1.0,0.3076923076923077,
C,C (non-monotone global),2,Theil-Sen,0.05105287273280962,0.035394977717737745,0.021983446745578856,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),2,LLT,0.044477497826792244,0.01612147258507806,0.04485497034447794,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),2,HP-mean,0.059716039204006525,0.007075825834250229,0.04843203019759547,0.11764705882352941,1.0,0.21052631578947367,
C,C (non-monotone global),3,GLASS-E,0.014903785257865138,0.00679455836120503,0.02991580348794332,0.18181818181818182,1.0,0.3076923076923077,0.15925025939941406
C,C (non-monotone global),3,ITF,0.014939260277993693,0.006399098543187856,0.030169121503462012,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),3,Theil-Sen,0.04770129883023624,0.035180463062358516,0.023777494435742966,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),3,LLT,0.04384354889657458,0.017774892078438992,0.04176760163254515,0.15384615384615385,1.0,0.2666666666666667,
C,C (non-monotone global),3,HP-mean,0.07007863538835868,0.007992533480553133,0.06029621915318774,0.13333333333333333,1.0,0.23529411764705882,
C,C (non-monotone global),4,GLASS-E,0.015179759837896833,0.006189645904497235,0.03114024306866947,0.18181818181818182,1.0,0.3076923076923077,0.1048429012298584
C,C (non-monotone global),4,ITF,0.01507130936165172,0.006866102186264228,0.031409588303507284,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),4,Theil-Sen,0.049993624777770966,0.0354977238838485,0.023271628427049575,0.14285714285714285,1.0,0.25,
C,C (non-monotone global),4,LLT,0.04407659616908291,0.019769830848782102,0.042248366571513804,0.14285714285714285,1.0,0.25,
C,C (non-monotone global),4,HP-mean,0.07302085237598499,0.007728528468461001,0.061304061413262424,0.10526315789473684,1.0,0.1904761904761905,
C,C (non-monotone global),5,GLASS-E,0.019836224506226803,0.006570356076540954,0.02625876456639732,0.18181818181818182,1.0,0.3076923076923077,0.12576603889465332
C,C (non-monotone global),5,ITF,0.01962865949089885,0.006166882396705386,0.027136833801666645,0.16666666666666666,1.0,0.2857142857142857,
C,C (non-monotone global),5,Theil-Sen,0.05158704819389767,0.03551408092980218,0.023018690667510833,0.18181818181818182,1.0,0.3076923076923077,
C,C (non-monotone global),5,LLT,0.0448703086749091,0.01894361197285049,0.04212942634241004,0.15384615384615385,1.0,0.2666666666666667,
C,C (non-monotone global),5,HP-mean,0.06901515109030625,0.0060727086681167525,0.05485308727153377,0.11764705882352941,1.0,0.21052631578947367,
C,C (non-monotone global),6,GLASS-E,0.01805762899115911,0.0058242896937988195,0.03164803266490559,0.16666666666666666,1.0,0.2857142857142857,0.12051010131835938
C,C (non-monotone global),6,ITF,0.0178094181669748,0.0060757752297317304,0.032168969366292335,0.13333333333333333,1.0,0.23529411764705882,
C,C (non-monotone global),6,Theil-Sen,0.049076683332990374,0.03581811404597397,0.025222019434835017,0.11764705882352941,1.0,0.21052631578947367,
C,C (non-monotone global),6,LLT,0.044030271936788386,0.015996848398292046,0.045160426207674166,0.18181818181818182,1.0,0.3076923076923077,
C,C (non-monotone global),6,HP-mean,0.06414667250552143,0.008241919202259914,0.051465145007961816,0.1111111111111111,1.0,0.19999999999999998,
C,C (non-monotone global),7,GLASS-E,0.013170848114047992,0.006361475221974648,0.035337365406166936,0.18181818181818182,1.0,0.3076923076923077,0.14101219177246094
C,C (non-monotone global),7,ITF,0.013148511840069335,0.006588662505392945,0.03566739359206858,0.14285714285714285,1.0,0.25,
C,C (non-monotone global),7,Theil-Sen,0.055339796780188466,0.03636350173450758,0.031150740013551472,0.11764705882352941,1.0,0.21052631578947367,
C,C (non-monotone global),7,LLT,0.04343033842501791,0.020153547426539565,0.04640433765693807,0.125,1.0,0.2222222222222222,
C,C (non-monotone global),7,HP-mean,0.07085214086176811,0.007569833567127867,0.05803487202347428,0.13333333333333333,1.0,0.23529411764705882,
